gensci,analsci,collsci,pynam,GL_pyscinam,N
ECHINODERMATA,ECHINOIDEA,ECHINOIDEA,ECHINACEA,Echinodermata,31
ECHINODERMATA,ECHINOIDEA,ECHINOIDEA,ECHINARACHNIIDAE,Echinodermata,2
ECHINODERMATA,ECHINOIDEA,ECHINOIDEA,ECHINARACHNIUS PARMA,Echinodermata,1132
ECHINODERMATA,ECHINOIDEA,ECHINOIDEA,SCHIZASTERIDAE,Echinodermata,3
ECHINODERMATA,ECHINOIDEA,ECHINOIDEA,STRONGYLOCENTROTUS DROEBACHIENSIS,Echinodermata,34
FISH,ENGRAULIDAE,ANCHOA HEPSETUS,ANCHOA HEPSETUS,Engraulidae,6
FISH,ENGRAULIDAE,ANCHOA MITCHILLI,ANCHOA MITCHILLI,Engraulidae,13
FISH,ENGRAULIDAE,ENGRAULIS EURYSTOLE,ENGRAULIS EURYSTOLE,Engraulidae,2
ARTHROPODA,EUPHAUSIACEA,EUPHAUSIACEA,EUPHAUSIA KROHNI,Euphausiidae,6
ARTHROPODA,EUPHAUSIACEA,EUPHAUSIACEA,MEGANYCTIPHANES NORVEGICA,Euphausiidae,1336
ARTHROPODA,EUPHAUSIACEA,EUPHAUSIACEA,NYCTIPHANES COUCHI,Euphausiidae,2
ARTHROPODA,EUPHAUSIACEA,EUPHAUSIACEA,THYSANOESSA INERMIS,Euphausiidae,6
ARTHROPODA,EUPHAUSIACEA,EUPHAUSIACEA,THYSANOESSA LONGICAUDATA,Euphausiidae,4
ARTHROPODA,EUPHAUSIACEA,EUPHAUSIACEA,THYSANOESSA RASCHII,Euphausiidae,32
FISH,FISH EGGS,FISH EGGS,FISH EGGS,Fish eggs,174
FISH,FISH LARVAE,FISH LARVAE,FISH LARVAE,Fish larvae,416
FISH,GADIDAE,BROSME BROSME,BROSME BROSME,Gadiformes,13
FISH,GADIDAE,ENCHELYOPUS CIMBRIUS,ENCHELYOPUS CIMBRIUS,Gadiformes,236
FISH,GADIDAE,GADUS MORHUA,GADUS MORHUA,Gadiformes,64
FISH,GADIDAE,MELANOGRAMMUS AEGLEFINUS,MELANOGRAMMUS AEGLEFINUS,Gadiformes,250
